iterations, time, cart::mass_pendulum[REAL], cart::mass_cart[REAL], cart::velocity[REAL], cart::position[REAL], cart::acceleration[REAL], cart::force[REAL], cart::force_pendulum[REAL], pendulum::cart_acceleration[REAL], pendulum::force[REAL], pendulum::length_pendulum[REAL], pendulum::angle[REAL], pendulum::mass_pendulum[REAL], pendulum::angular_velocity[REAL], controller::angle[REAL], controller::angular_velocity[REAL], controller::cart_velocity[REAL], controller::cart_position[REAL], controller::force[REAL]
0, 0, 0.100000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.349066, 0.100000, 0.000000, 0.349066, 0.000000, 0.000000, 0.000000, 0.000000
1, 0.01, 0.100000, 1.000000, 0.000000, 0.000000, 0.000000, 0.349066, -0.315210, 0.000000, -0.315210, 1.000000, 0.349401, 0.100000, 0.033552, 0.349401, 0.033552, 0.000000, 0.000000, 0.349066
2, 0.02, 0.100000, 1.000000, 0.000308, 0.000003, 0.030778, 0.416506, -0.315308, 0.030778, -0.315308, 1.000000, 0.350073, 0.100000, 0.067135, 0.350073, 0.067135, 0.000308, 0.000003, 0.416506
3, 0.03, 0.100000, 1.000000, 0.001228, 0.000015, 0.091998, 0.481173, -0.312865, 0.091998, -0.312865, 1.000000, 0.351078, 0.100000, 0.100491, 0.351078, 0.100491, 0.001228, 0.000015, 0.481173
4, 0.04, 0.100000, 1.000000, 0.002758, 0.000043, 0.153007, 0.539322, -0.307920, 0.153007, -0.307920, 1.000000, 0.352411, 0.100000, 0.133365, 0.352411, 0.133365, 0.002758, 0.000043, 0.539322
5, 0.05, 0.100000, 1.000000, 0.004861, 0.000092, 0.210365, 0.590275, -0.303178, 0.210365, -0.303178, 1.000000, 0.354069, 0.100000, 0.165789, 0.354069, 0.165789, 0.004861, 0.000092, 0.590275
6, 0.06, 0.100000, 1.000000, 0.007471, 0.000166, 0.260997, 0.634286, -0.298939, 0.260997, -0.298939, 1.000000, 0.356047, 0.100000, 0.197829, 0.356047, 0.197829, 0.007471, 0.000166, 0.634286
7, 0.07, 0.100000, 1.000000, 0.010520, 0.000271, 0.304861, 0.672003, -0.295471, 0.304861, -0.295471, 1.000000, 0.358343, 0.100000, 0.229578, 0.358343, 0.229578, 0.010520, 0.000271, 0.672003
8, 0.08, 0.100000, 1.000000, 0.013943, 0.000411, 0.342302, 0.704154, -0.292770, 0.342302, -0.292770, 1.000000, 0.360955, 0.100000, 0.261129, 0.360955, 0.261129, 0.013943, 0.000411, 0.704154
9, 0.09, 0.100000, 1.000000, 0.017683, 0.000588, 0.373985, 0.731454, -0.290798, 0.373985, -0.290798, 1.000000, 0.363880, 0.100000, 0.292572, 0.363880, 0.292572, 0.017683, 0.000588, 0.731454
10, 0.1, 0.100000, 1.000000, 0.021689, 0.000805, 0.400596, 0.754563, -0.289487, 0.400596, -0.289487, 1.000000, 0.367120, 0.100000, 0.323991, 0.367120, 0.323991, 0.021689, 0.000805, 0.754563
11, 0.11, 0.100000, 1.000000, 0.025917, 0.001064, 0.422796, 0.774075, -0.288767, 0.422796, -0.288767, 1.000000, 0.370675, 0.100000, 0.355463, 0.370675, 0.355463, 0.025917, 0.001064, 0.774075
12, 0.12, 0.100000, 1.000000, 0.030329, 0.001367, 0.441189, 0.790519, -0.288569, 0.441189, -0.288569, 1.000000, 0.374545, 0.100000, 0.387058, 0.374545, 0.387058, 0.030329, 0.001367, 0.790519
13, 0.13, 0.100000, 1.000000, 0.034892, 0.001716, 0.456318, 0.804362, -0.288828, 0.456318, -0.288828, 1.000000, 0.378734, 0.100000, 0.418842, 0.378734, 0.418842, 0.034892, 0.001716, 0.804362
14, 0.14, 0.100000, 1.000000, 0.039579, 0.002112, 0.468668, 0.816019, -0.289483, 0.468668, -0.289483, 1.000000, 0.383243, 0.100000, 0.450874, 0.383243, 0.450874, 0.039579, 0.002112, 0.816019
15, 0.15, 0.100000, 1.000000, 0.044365, 0.002555, 0.478670, 0.825852, -0.290478, 0.478670, -0.290478, 1.000000, 0.388075, 0.100000, 0.483210, 0.388075, 0.483210, 0.044365, 0.002555, 0.825852
16, 0.16, 0.100000, 1.000000, 0.049232, 0.003048, 0.486704, 0.834179, -0.291760, 0.486704, -0.291760, 1.000000, 0.393234, 0.100000, 0.515901, 0.393234, 0.515901, 0.049232, 0.003048, 0.834179
17, 0.17, 0.100000, 1.000000, 0.054163, 0.003589, 0.493108, 0.841280, -0.293280, 0.493108, -0.293280, 1.000000, 0.398724, 0.100000, 0.548995, 0.398724, 0.548995, 0.054163, 0.003589, 0.841280
18, 0.18, 0.100000, 1.000000, 0.059145, 0.004181, 0.498182, 0.847398, -0.294991, 0.498182, -0.294991, 1.000000, 0.404549, 0.100000, 0.582537, 0.404549, 0.582537, 0.059145, 0.004181, 0.847398
19, 0.19, 0.100000, 1.000000, 0.064167, 0.004823, 0.502189, 0.852746, -0.296847, 0.502189, -0.296847, 1.000000, 0.410715, 0.100000, 0.616570, 0.410715, 0.616570, 0.064167, 0.004823, 0.852746
20, 0.2, 0.100000, 1.000000, 0.069221, 0.005515, 0.505363, 0.857509, -0.298806, 0.505363, -0.298806, 1.000000, 0.417226, 0.100000, 0.651134, 0.417226, 0.651134, 0.069221, 0.005515, 0.857509
21, 0.21, 0.100000, 1.000000, 0.074300, 0.006258, 0.507912, 0.861845, -0.300823, 0.507912, -0.300823, 1.000000, 0.424089, 0.100000, 0.686267, 0.424089, 0.686267, 0.074300, 0.006258, 0.861845
22, 0.22, 0.100000, 1.000000, 0.079400, 0.007052, 0.510019, 0.865892, -0.302858, 0.510019, -0.302858, 1.000000, 0.431309, 0.100000, 0.722005, 0.431309, 0.722005, 0.079400, 0.007052, 0.865892
23, 0.23, 0.100000, 1.000000, 0.084519, 0.007897, 0.511849, 0.869766, -0.304867, 0.511849, -0.304867, 1.000000, 0.438893, 0.100000, 0.758383, 0.438893, 0.758383, 0.084519, 0.007897, 0.869766
24, 0.24, 0.100000, 1.000000, 0.089654, 0.008793, 0.513544, 0.873566, -0.306808, 0.513544, -0.306808, 1.000000, 0.446847, 0.100000, 0.795436, 0.446847, 0.795436, 0.089654, 0.008793, 0.873566
25, 0.25, 0.100000, 1.000000, 0.094806, 0.009742, 0.515235, 0.877376, -0.308636, 0.515235, -0.308636, 1.000000, 0.455179, 0.100000, 0.833196, 0.455179, 0.833196, 0.094806, 0.009742, 0.877376
26, 0.26, 0.100000, 1.000000, 0.099977, 0.010741, 0.517036, 0.881263, -0.310307, 0.517036, -0.310307, 1.000000, 0.463896, 0.100000, 0.871696, 0.463896, 0.871696, 0.099977, 0.010741, 0.881263
27, 0.27, 0.100000, 1.000000, 0.105167, 0.011793, 0.519051, 0.885282, -0.311773, 0.519051, -0.311773, 1.000000, 0.473005, 0.100000, 0.910965, 0.473005, 0.910965, 0.105167, 0.011793, 0.885282
28, 0.28, 0.100000, 1.000000, 0.110381, 0.012897, 0.521372, 0.889475, -0.312986, 0.521372, -0.312986, 1.000000, 0.482516, 0.100000, 0.951035, 0.482516, 0.951035, 0.110381, 0.012897, 0.889475
29, 0.29, 0.100000, 1.000000, 0.115622, 0.014053, 0.524081, 0.893874, -0.313894, 0.524081, -0.313894, 1.000000, 0.492435, 0.100000, 0.991936, 0.492435, 0.991936, 0.115622, 0.014053, 0.893874
30, 0.3, 0.100000, 1.000000, 0.120894, 0.015262, 0.527255, 0.898501, -0.314442, 0.527255, -0.314442, 1.000000, 0.502772, 0.100000, 1.033697, 0.502772, 1.033697, 0.120894, 0.015262, 0.898501
31, 0.31, 0.100000, 1.000000, 0.126204, 0.016524, 0.530962, 0.903366, -0.314574, 0.530962, -0.314574, 1.000000, 0.513536, 0.100000, 1.076347, 0.513536, 1.076347, 0.126204, 0.016524, 0.903366
32, 0.32, 0.100000, 1.000000, 0.131557, 0.017840, 0.535265, 0.908472, -0.314227, 0.535265, -0.314227, 1.000000, 0.524735, 0.100000, 1.119915, 0.524735, 1.119915, 0.131557, 0.017840, 0.908472
33, 0.33, 0.100000, 1.000000, 0.136959, 0.019209, 0.540223, 0.913813, -0.313337, 0.540223, -0.313337, 1.000000, 0.536379, 0.100000, 1.164429, 0.536379, 1.164429, 0.136959, 0.019209, 0.913813
34, 0.34, 0.100000, 1.000000, 0.142418, 0.020633, 0.545888, 0.919376, -0.311833, 0.545888, -0.311833, 1.000000, 0.548478, 0.100000, 1.209917, 0.548478, 1.209917, 0.142418, 0.020633, 0.919376
35, 0.35, 0.100000, 1.000000, 0.147941, 0.022113, 0.552311, 0.925137, -0.309642, 0.552311, -0.309642, 1.000000, 0.561042, 0.100000, 1.256407, 0.561042, 1.256407, 0.147941, 0.022113, 0.925137
36, 0.36, 0.100000, 1.000000, 0.153536, 0.023648, 0.559541, 0.931068, -0.306684, 0.559541, -0.306684, 1.000000, 0.574082, 0.100000, 1.303927, 0.574082, 1.303927, 0.153536, 0.023648, 0.931068
37, 0.37, 0.100000, 1.000000, 0.159212, 0.025240, 0.567621, 0.937131, -0.302876, 0.567621, -0.302876, 1.000000, 0.587607, 0.100000, 1.352503, 0.587607, 1.352503, 0.159212, 0.025240, 0.937131
38, 0.38, 0.100000, 1.000000, 0.164978, 0.026890, 0.576596, 0.943283, -0.298125, 0.576596, -0.298125, 1.000000, 0.601628, 0.100000, 1.402162, 0.601628, 1.402162, 0.164978, 0.026890, 0.943283
39, 0.39, 0.100000, 1.000000, 0.170843, 0.028598, 0.586507, 0.949471, -0.292337, 0.586507, -0.292337, 1.000000, 0.616158, 0.100000, 1.452932, 0.616158, 1.452932, 0.170843, 0.028598, 0.949471
40, 0.4, 0.100000, 1.000000, 0.176817, 0.030367, 0.597394, 0.955636, -0.285410, 0.597394, -0.285410, 1.000000, 0.631206, 0.100000, 1.504838, 0.631206, 1.504838, 0.176817, 0.030367, 0.955636
41, 0.41, 0.100000, 1.000000, 0.182910, 0.032196, 0.609296, 0.961711, -0.277233, 0.609296, -0.277233, 1.000000, 0.646785, 0.100000, 1.557906, 0.646785, 1.557906, 0.182910, 0.032196, 0.961711
42, 0.42, 0.100000, 1.000000, 0.189133, 0.034087, 0.622252, 0.967623, -0.267693, 0.622252, -0.267693, 1.000000, 0.662907, 0.100000, 1.612161, 0.662907, 1.612161, 0.189133, 0.034087, 0.967623
43, 0.43, 0.100000, 1.000000, 0.195496, 0.036042, 0.636300, 0.973290, -0.256667, 0.636300, -0.256667, 1.000000, 0.679583, 0.100000, 1.667628, 0.679583, 1.667628, 0.195496, 0.036042, 0.973290
44, 0.44, 0.100000, 1.000000, 0.202011, 0.038062, 0.651475, 0.978621, -0.244025, 0.651475, -0.244025, 1.000000, 0.696826, 0.100000, 1.724331, 0.696826, 1.724331, 0.202011, 0.038062, 0.978621
45, 0.45, 0.100000, 1.000000, 0.208689, 0.040149, 0.667815, 0.983521, -0.229632, 0.667815, -0.229632, 1.000000, 0.714649, 0.100000, 1.782295, 0.714649, 1.782295, 0.208689, 0.040149, 0.983521
46, 0.46, 0.100000, 1.000000, 0.215542, 0.042304, 0.685353, 0.987882, -0.213346, 0.685353, -0.213346, 1.000000, 0.733065, 0.100000, 1.841541, 0.733065, 1.841541, 0.215542, 0.042304, 0.987882
47, 0.47, 0.100000, 1.000000, 0.222584, 0.044530, 0.704124, 0.991591, -0.195015, 0.704124, -0.195015, 1.000000, 0.752085, 0.100000, 1.902091, 0.752085, 1.902091, 0.222584, 0.044530, 0.991591
48, 0.48, 0.100000, 1.000000, 0.229825, 0.046828, 0.724160, 0.994526, -0.174485, 0.724160, -0.174485, 1.000000, 0.771725, 0.100000, 1.963967, 0.771725, 1.963967, 0.229825, 0.046828, 0.994526
49, 0.49, 0.100000, 1.000000, 0.237280, 0.049201, 0.745492, 0.996555, -0.151592, 0.745492, -0.151592, 1.000000, 0.791997, 0.100000, 2.027190, 0.791997, 2.027190, 0.237280, 0.049201, 0.996555
50, 0.5, 0.100000, 1.000000, 0.244962, 0.051651, 0.768148, 0.997538, -0.126168, 0.768148, -0.126168, 1.000000, 0.812915, 0.100000, 2.091776, 0.812915, 2.091776, 0.244962, 0.051651, 0.997538
51, 0.51, 0.100000, 1.000000, 0.252883, 0.054180, 0.792154, 0.997326, -0.098040, 0.792154, -0.098040, 1.000000, 0.834492, 0.100000, 2.157746, 0.834492, 2.157746, 0.252883, 0.054180, 0.997326
52, 0.52, 0.100000, 1.000000, 0.261058, 0.056790, 0.817532, 0.995762, -0.067031, 0.817532, -0.067031, 1.000000, 0.856743, 0.100000, 2.225114, 0.856743, 2.225114, 0.261058, 0.056790, 0.995762
53, 0.53, 0.100000, 1.000000, 0.269501, 0.059485, 0.844301, 0.992678, -0.032958, 0.844301, -0.032958, 1.000000, 0.879682, 0.100000, 2.293895, 0.879682, 2.293895, 0.269501, 0.059485, 0.992678
54, 0.54, 0.100000, 1.000000, 0.278226, 0.062268, 0.872473, 0.987899, 0.004362, 0.872473, 0.004362, 1.000000, 0.903323, 0.100000, 2.364103, 0.903323, 2.364103, 0.278226, 0.062268, 0.987899
55, 0.55, 0.100000, 1.000000, 0.287247, 0.065140, 0.902056, 0.981241, 0.045112, 0.902056, 0.045112, 1.000000, 0.927681, 0.100000, 2.435749, 0.927681, 2.435749, 0.287247, 0.065140, 0.981241
56, 0.56, 0.100000, 1.000000, 0.296577, 0.068106, 0.933049, 0.972511, 0.089477, 0.933049, 0.089477, 1.000000, 0.952769, 0.100000, 2.508842, 0.952769, 2.508842, 0.296577, 0.068106, 0.972511
57, 0.57, 0.100000, 1.000000, 0.306232, 0.071168, 0.965444, 0.961508, 0.137636, 0.965444, 0.137636, 1.000000, 0.978603, 0.100000, 2.583390, 0.978603, 2.583390, 0.306232, 0.071168, 0.961508
58, 0.58, 0.100000, 1.000000, 0.316224, 0.074330, 0.999222, 0.948023, 0.189764, 0.999222, 0.189764, 1.000000, 1.005197, 0.100000, 2.659396, 1.005197, 2.659396, 0.316224, 0.074330, 0.948023
59, 0.59, 0.100000, 1.000000, 0.326567, 0.077596, 1.034351, 0.931840, 0.246028, 1.034351, 0.246028, 1.000000, 1.032566, 0.100000, 2.736864, 1.032566, 2.736864, 0.326567, 0.077596, 0.931840
60, 0.6, 0.100000, 1.000000, 0.337275, 0.080969, 1.070790, 0.912739, 0.306585, 1.070790, 0.306585, 1.000000, 1.060724, 0.100000, 2.815792, 1.060724, 2.815792, 0.337275, 0.080969, 0.912739
61, 0.61, 0.100000, 1.000000, 0.348360, 0.084452, 1.108476, 0.890491, 0.371575, 1.108476, 0.371575, 1.000000, 1.089685, 0.100000, 2.896177, 1.089685, 2.896177, 0.348360, 0.084452, 0.890491
62, 0.62, 0.100000, 1.000000, 0.359833, 0.088051, 1.147333, 0.864867, 0.441121, 1.147333, 0.441121, 1.000000, 1.119466, 0.100000, 2.978011, 1.119466, 2.978011, 0.359833, 0.088051, 0.864867
63, 0.63, 0.100000, 1.000000, 0.371706, 0.091768, 1.187262, 0.835632, 0.515324, 1.187262, 0.515324, 1.000000, 1.150078, 0.100000, 3.061284, 1.150078, 3.061284, 0.371706, 0.091768, 0.835632
64, 0.64, 0.100000, 1.000000, 0.383987, 0.095608, 1.228142, 0.802553, 0.594255, 1.228142, 0.594255, 1.000000, 1.181538, 0.100000, 3.145980, 1.181538, 3.145980, 0.383987, 0.095608, 0.802553
65, 0.65, 0.100000, 1.000000, 0.396686, 0.099575, 1.269825, 0.765395, 0.677952, 1.269825, 0.677952, 1.000000, 1.213859, 0.100000, 3.232080, 1.213859, 3.232080, 0.396686, 0.099575, 0.765395
66, 0.66, 0.100000, 1.000000, 0.409807, 0.103673, 1.312134, 0.723928, 0.766416, 1.312134, 0.766416, 1.000000, 1.247055, 0.100000, 3.319560, 1.247055, 3.319560, 0.409807, 0.103673, 0.723928
67, 0.67, 0.100000, 1.000000, 0.423356, 0.107906, 1.354858, 0.677928, 0.859598, 1.354858, 0.859598, 1.000000, 1.281139, 0.100000, 3.408390, 1.281139, 3.408390, 0.423356, 0.107906, 0.677928
68, 0.68, 0.100000, 1.000000, 0.437333, 0.112279, 1.397751, 0.627179, 0.957398, 1.397751, 0.957398, 1.000000, 1.316124, 0.100000, 3.498534, 1.316124, 3.498534, 0.437333, 0.112279, 0.627179
69, 0.69, 0.100000, 1.000000, 0.451738, 0.116797, 1.440525, 0.571477, 1.059656, 1.440525, 1.059656, 1.000000, 1.352023, 0.100000, 3.589948, 1.352023, 3.589948, 0.451738, 0.116797, 0.571477
70, 0.7, 0.100000, 1.000000, 0.466567, 0.121463, 1.482847, 0.510631, 1.166138, 1.482847, 1.166138, 1.000000, 1.388849, 0.100000, 3.682584, 1.388849, 3.682584, 0.466567, 0.121463, 0.510631
71, 0.71, 0.100000, 1.000000, 0.481810, 0.126281, 1.524335, 0.444473, 1.276535, 1.524335, 1.276535, 1.000000, 1.426613, 0.100000, 3.776381, 1.426613, 3.776381, 0.481810, 0.126281, 0.444473
72, 0.72, 0.100000, 1.000000, 0.497456, 0.131255, 1.564553, 0.372855, 1.390450, 1.564553, 1.390450, 1.000000, 1.465326, 0.100000, 3.871273, 1.465326, 3.871273, 0.497456, 0.131255, 0.372855
73, 0.73, 0.100000, 1.000000, 0.513486, 0.136390, 1.603005, 0.295660, 1.507386, 1.603005, 1.507386, 1.000000, 1.504998, 0.100000, 3.967181, 1.504998, 3.967181, 0.513486, 0.136390, 0.295660
74, 0.74, 0.100000, 1.000000, 0.529877, 0.141689, 1.639132, 0.212801, 1.626739, 1.639132, 1.626739, 1.000000, 1.545638, 0.100000, 4.064015, 1.545638, 4.064015, 0.529877, 0.141689, 0.212801
75, 0.75, 0.100000, 1.000000, 0.546600, 0.147155, 1.672309, 0.124232, 1.747788, 1.672309, 1.747788, 1.000000, 1.587254, 0.100000, 4.161671, 1.587254, 4.161671, 0.546600, 0.147155, 0.124232
76, 0.76, 0.100000, 1.000000, 0.563618, 0.152791, 1.701836, 0.029951, 1.869681, 1.701836, 1.869681, 1.000000, 1.629855, 0.100000, 4.260033, 1.629855, 4.260033, 0.563618, 0.152791, 0.029951
77, 0.77, 0.100000, 1.000000, 0.580888, 0.158600, 1.726939, -0.069994, 1.991433, 1.726939, 1.991433, 1.000000, 1.673444, 0.100000, 4.358967, 1.673444, 4.358967, 0.580888, 0.158600, -0.069994
78, 0.78, 0.100000, 1.000000, 0.598356, 0.164583, 1.746762, -0.175498, 2.111908, 1.746762, 2.111908, 1.000000, 1.718028, 0.100000, 4.458320, 1.718028, 4.458320, 0.598356, 0.164583, -0.175498
79, 0.79, 0.100000, 1.000000, 0.615959, 0.170743, 1.760373, -0.286391, 2.229822, 1.760373, 2.229822, 1.000000, 1.763607, 0.100000, 4.557921, 1.763607, 4.557921, 0.615959, 0.170743, -0.286391
80, 0.8, 0.100000, 1.000000, 0.633627, 0.177079, 1.766755, -0.402434, 2.343730, 1.766755, 2.343730, 1.000000, 1.810183, 0.100000, 4.657576, 1.810183, 4.657576, 0.633627, 0.177079, -0.402434
81, 0.81, 0.100000, 1.000000, 0.651275, 0.183592, 1.764814, -0.523312, 2.452032, 1.764814, 2.452032, 1.000000, 1.857753, 0.100000, 4.757068, 1.857753, 4.757068, 0.651275, 0.183592, -0.523312
82, 0.82, 0.100000, 1.000000, 0.668809, 0.190280, 1.753382, -0.648622, 2.552968, 1.753382, 2.552968, 1.000000, 1.906315, 0.100000, 4.856152, 1.906315, 4.856152, 0.668809, 0.190280, -0.648622
83, 0.83, 0.100000, 1.000000, 0.686121, 0.197141, 1.731224, -0.777873, 2.644630, 1.731224, 2.644630, 1.000000, 1.955860, 0.100000, 4.954555, 1.955860, 4.954555, 0.686121, 0.197141, -0.777873
84, 0.84, 0.100000, 1.000000, 0.703092, 0.204172, 1.697051, -0.910480, 2.724976, 1.697051, 2.724976, 1.000000, 2.006380, 0.100000, 5.051974, 2.006380, 5.051974, 0.703092, 0.204172, -0.910480
85, 0.85, 0.100000, 1.000000, 0.719587, 0.211368, 1.649542, -1.045755, 2.791851, 1.649542, 2.791851, 1.000000, 2.057861, 0.100000, 5.148074, 2.057861, 5.148074, 0.719587, 0.211368, -1.045755
86, 0.86, 0.100000, 1.000000, 0.735461, 0.218723, 1.587360, -1.182903, 2.843014, 1.587360, 2.843014, 1.000000, 2.110286, 0.100000, 5.242487, 2.110286, 5.242487, 0.735461, 0.218723, -1.182903
87, 0.87, 0.100000, 1.000000, 0.750552, 0.226228, 1.509191, -1.321028, 2.876183, 1.509191, 2.876183, 1.000000, 2.163634, 0.100000, 5.334808, 2.163634, 5.334808, 0.750552, 0.226228, -1.321028
88, 0.88, 0.100000, 1.000000, 0.764690, 0.233875, 1.413778, -1.459122, 2.889086, 1.413778, 2.889086, 1.000000, 2.217880, 0.100000, 5.424600, 2.217880, 5.424600, 0.764690, 0.233875, -1.459122
89, 0.89, 0.100000, 1.000000, 0.777690, 0.241652, 1.299967, -1.596077, 2.879522, 1.299967, 2.879522, 1.000000, 2.272994, 0.100000, 5.511392, 2.272994, 5.511392, 0.777690, 0.241652, -1.596077
90, 0.9, 0.100000, 1.000000, 0.789358, 0.249546, 1.166768, -1.730683, 2.845438, 1.166768, 2.845438, 1.000000, 2.328940, 0.100000, 5.594680, 2.328940, 5.594680, 0.789358, 0.249546, -1.730683
91, 0.91, 0.100000, 1.000000, 0.799492, 0.257541, 1.013413, -1.861643, 2.785015, 1.013413, 2.785015, 1.000000, 2.385680, 0.100000, 5.673934, 2.385680, 5.673934, 0.799492, 0.257541, -1.861643
92, 0.92, 0.100000, 1.000000, 0.807886, 0.265619, 0.839429, -1.987585, 2.696763, 0.839429, 2.696763, 1.000000, 2.443166, 0.100000, 5.748601, 2.443166, 5.748601, 0.807886, 0.265619, -1.987585
93, 0.93, 0.100000, 1.000000, 0.814333, 0.273763, 0.644707, -2.107075, 2.579619, 0.644707, 2.579619, 1.000000, 2.501347, 0.100000, 5.818109, 2.501347, 5.818109, 0.814333, 0.273763, -2.107075
94, 0.94, 0.100000, 1.000000, 0.818629, 0.281949, 0.429586, -2.218648, 2.433051, 0.429586, 2.433051, 1.000000, 2.560166, 0.100000, 5.881883, 2.560166, 5.881883, 0.818629, 0.281949, -2.218648
95, 0.95, 0.100000, 1.000000, 0.820578, 0.290155, 0.194912, -2.320827, 2.257148, 0.194912, 2.257148, 1.000000, 2.619559, 0.100000, 5.939352, 2.619559, 5.939352, 0.820578, 0.290155, -2.320827
96, 0.96, 0.100000, 1.000000, 0.819999, 0.298355, -0.057890, -2.412162, 2.052705, -0.057890, 2.052705, 1.000000, 2.679459, 0.100000, 5.989958, 2.679459, 5.989958, 0.819999, 0.298355, -2.412162
97, 0.97, 0.100000, 1.000000, 0.816731, 0.306522, -0.326780, -2.491260, 1.821277, -0.326780, 1.821277, 1.000000, 2.739791, 0.100000, 6.033179, 2.739791, 6.033179, 0.816731, 0.306522, -2.491260
98, 0.98, 0.100000, 1.000000, 0.810641, 0.314629, -0.609076, -2.556829, 1.565213, -0.609076, 1.565213, 1.000000, 2.800476, 0.100000, 6.068536, 2.800476, 6.068536, 0.810641, 0.314629, -2.556829
99, 0.99, 0.100000, 1.000000, 0.801626, 0.322645, -0.901469, -2.607714, 1.287642, -0.901469, 1.287642, 1.000000, 2.861432, 0.100000, 6.095614, 2.861432, 6.095614, 0.801626, 0.322645, -2.607714
100, 1, 0.100000, 1.000000, 0.789625, 0.330541, -1.200065, -2.642941, 0.992422, -1.200065, 0.992422, 1.000000, 2.922573, 0.100000, 6.114077, 2.922573, 6.114077, 0.789625, 0.330541, -2.642941
101, 1.01, 0.100000, 1.000000, 0.774621, 0.338287, -1.500473, -2.661757, 0.684038, -1.500473, 0.684038, 1.000000, 2.983810, 0.100000, 6.123677, 2.983810, 6.123677, 0.774621, 0.338287, -2.661757
102, 1.02, 0.100000, 1.000000, 0.756641, 0.345854, -1.797927, -2.663658, 0.367461, -1.797927, 0.367461, 1.000000, 3.045052, 0.100000, 6.124273, 3.045052, 6.124273, 0.756641, 0.345854, -2.663658
103, 1.03, 0.100000, 1.000000, 0.735767, 0.353211, -2.087452, -2.648423, 0.047969, -2.087452, 0.047969, 1.000000, 3.106211, 0.100000, 6.115834, 3.106211, 6.115834, 0.735767, 0.353211, -2.648423
104, 1.04, 0.100000, 1.000000, 0.712126, 0.360333, -2.364049, -2.616129, -0.269063, -2.364049, -0.269063, 1.000000, 3.167195, 0.100000, 6.098442, 3.167195, 6.098442, 0.712126, 0.360333, -2.616129
105, 1.05, 0.100000, 1.000000, 0.685897, 0.367192, -2.622902, -2.567160, -0.578378, -2.622902, -0.578378, 1.000000, 3.227918, 0.100000, 6.072298, 3.227918, 6.072298, 0.685897, 0.367192, -2.567160
106, 1.06, 0.100000, 1.000000, 0.657301, 0.373765, -2.859580, -2.502204, -0.875051, -2.859580, -0.875051, 1.000000, 3.288295, 0.100000, 6.037709, 3.288295, 6.037709, 0.657301, 0.373765, -2.502204
107, 1.07, 0.100000, 1.000000, 0.626599, 0.380031, -3.070231, -2.422238, -1.154673, -3.070231, -1.154673, 1.000000, 3.348246, 0.100000, 5.995080, 3.348246, 5.995080, 0.626599, 0.380031, -2.422238
108, 1.08, 0.100000, 1.000000, 0.594082, 0.385971, -3.251738, -2.328501, -1.413513, -3.251738, -1.413513, 1.000000, 3.407695, 0.100000, 5.944903, 3.407695, 5.944903, 0.594082, 0.385971, -2.328501
109, 1.09, 0.100000, 1.000000, 0.560063, 0.391572, -3.401830, -2.222458, -1.648610, -3.401830, -1.648610, 1.000000, 3.466572, 0.100000, 5.887732, 3.466572, 5.887732, 0.560063, 0.391572, -2.222458
110, 1.1, 0.100000, 1.000000, 0.524872, 0.396821, -3.519153, -2.105758, -1.857837, -3.519153, -1.857837, 1.000000, 3.524814, 0.100000, 5.824172, 3.524814, 5.824172, 0.524872, 0.396821, -2.105758
111, 1.11, 0.100000, 1.000000, 0.488839, 0.401709, -3.603268, -1.980183, -2.039889, -3.603268, -2.039889, 1.000000, 3.582363, 0.100000, 5.754853, 3.582363, 5.754853, 0.488839, 0.401709, -1.980183
112, 1.12, 0.100000, 1.000000, 0.452293, 0.406232, -3.654610, -1.847598, -2.194244, -3.654610, -2.194244, 1.000000, 3.639167, 0.100000, 5.680411, 3.639167, 5.680411, 0.452293, 0.406232, -1.847598
113, 1.13, 0.100000, 1.000000, 0.415549, 0.410388, -3.674401, -1.709904, -2.321074, -3.674401, -2.321074, 1.000000, 3.695181, 0.100000, 5.601473, 3.695181, 5.601473, 0.415549, 0.410388, -1.709904
114, 1.14, 0.100000, 1.000000, 0.378904, 0.414177, -3.664526, -1.568989, -2.421140, -3.664526, -2.421140, 1.000000, 3.750368, 0.100000, 5.518642, 3.750368, 5.518642, 0.378904, 0.414177, -1.568989
115, 1.15, 0.100000, 1.000000, 0.342630, 0.417603, -3.627390, -1.426684, -2.495669, -3.627390, -2.495669, 1.000000, 3.804693, 0.100000, 5.432480, 3.804693, 5.432480, 0.342630, 0.417603, -1.426684
116, 1.16, 0.100000, 1.000000, 0.306972, 0.420673, -3.565776, -1.284732, -2.546234, -3.565776, -2.546234, 1.000000, 3.858128, 0.100000, 5.343507, 3.858128, 5.343507, 0.306972, 0.420673, -1.284732
117, 1.17, 0.100000, 1.000000, 0.272145, 0.423394, -3.482697, -1.144759, -2.574640, -3.482697, -2.574640, 1.000000, 3.910650, 0.100000, 5.252188, 3.910650, 5.252188, 0.272145, 0.423394, -1.144759
118, 1.18, 0.100000, 1.000000, 0.238333, 0.425777, -3.381272, -1.008248, -2.582822, -3.381272, -2.582822, 1.000000, 3.962239, 0.100000, 5.158938, 3.962239, 5.158938, 0.238333, 0.425777, -1.008248
